"Time","Action","Source","SourcePath","RelativePath","DestPath","SourceHash","DestHash","Note"
"8/23/2025 9:35:46 PM","copied_new","frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\AgentHttpClient.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\AgentHttpClient.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\AgentHttpClient.tsx","6E60E18A5DABEC389DBC7C516B241DABAB62AB991DC6753079EBF60EBC2F81E2","6E60E18A5DABEC389DBC7C516B241DABAB62AB991DC6753079EBF60EBC2F81E2","new file"
"8/23/2025 9:35:46 PM","copied_new","frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\DeploymentHistory.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\DeploymentHistory.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\DeploymentHistory.tsx","4B9CBF9711093C6CE7FC18E33DE6718B9997A31758661EB39F102C9C48BA54CC","4B9CBF9711093C6CE7FC18E33DE6718B9997A31758661EB39F102C9C48BA54CC","new file"
"8/23/2025 9:35:46 PM","copied_new","frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\HostingMetrics.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\HostingMetrics.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\HostingMetrics.tsx","63C621DFF016E4618A769840F53B414B96A8F28303D9B15878E225EA52E1243B","63C621DFF016E4618A769840F53B414B96A8F28303D9B15878E225EA52E1243B","new file"
"8/23/2025 9:35:46 PM","copied_new","frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\LoadingSkeleton.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\LoadingSkeleton.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\LoadingSkeleton.tsx","54DB163764B3CC20FACA484CFBF79C4685A7F56E429324A44B7B4F6B76380390","54DB163764B3CC20FACA484CFBF79C4685A7F56E429324A44B7B4F6B76380390","new file"
"8/23/2025 9:35:46 PM","copied_new","frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\page.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\page.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\page.tsx","DC66E7DDFD58DB500DFF0624F3A884DAB9488EBCBEFDA1C7C3F930C6CBD599A1","DC66E7DDFD58DB500DFF0624F3A884DAB9488EBCBEFDA1C7C3F930C6CBD599A1","new file"
"8/23/2025 9:35:46 PM","copied_new","frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\page.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\page.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\page.tsx","59DC9B999DE0B0F9495CB78AAF5C59231248341AC3882740F77AAE73832284AF","59DC9B999DE0B0F9495CB78AAF5C59231248341AC3882740F77AAE73832284AF","new file"
"8/23/2025 9:35:46 PM","copied_new","frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\RepoDropdown.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\RepoDropdown.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\RepoDropdown.tsx","856884EA1B009F0BCCA989640C122244D16DC8A8C9B0A29B33D4E6F689B29E11","856884EA1B009F0BCCA989640C122244D16DC8A8C9B0A29B33D4E6F689B29E11","new file"
"8/23/2025 9:35:46 PM","copied_new","frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\SecretsManager.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\SecretsManager.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\SecretsManager.tsx","29BD848FA7DF9CAD0C16623C9334CCC5CBA31003F079F8C291019AB5A838E521","29BD848FA7DF9CAD0C16623C9334CCC5CBA31003F079F8C291019AB5A838E521","new file"
"8/23/2025 9:35:46 PM","copied_new","frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\Skeletons.tsx","react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\Skeletons.tsx","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\(with-layout)\deploy\[proj_id]\setup\Skeletons.tsx","0C19B5C3B86F1584947F62A86384789B81CC3FDD066CA911138DC9ED87EC3BEE","0C19B5C3B86F1584947F62A86384789B81CC3FDD066CA911138DC9ED87EC3BEE","new file"
"8/23/2025 9:35:47 PM","copied_new","frontend_ui_only","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_ui_only\react_components\agentops_dashboard\logs\[sessionId]\route.ts","react_components\agentops_dashboard\logs\[sessionId]\route.ts","C:\Users\kbass\OneDrive\Documents\testmaster\frontend_final\react_components\agentops_dashboard\logs\[sessionId]\route.ts","68FD40CD6533BBC6B26D762FD2D63B4DBC37F14657593C1C6D074D8B8FC860AB","68FD40CD6533BBC6B26D762FD2D63B4DBC37F14657593C1C6D074D8B8FC860AB","new file"
