timestamp,cpu_usage,memory_usage,avg_response_time,error_rate,active_services,dependency_health,import_success_rate,overall_health,future_health,disk_usage,request_rate,active_connections,response_time_trend,throughput_change,error_rate_trend,cpu_trend,memory_pressure,queue_depth,cache_hit_rate,cpu_variance,memory_variance,response_time_spike,error_rate_change,service_failures,dependency_changes,hour_of_day,day_of_week
2025-08-09 08:17:58.577405,59.80407884074494,47.42847016908241,392.36600728424867,0.0,13,99.22002739831899,99.8838327756636,56.76144613233794,64.37659541437806,41.39520646100069,150.10515284806527,13,1.4236600728424866,-0.05251698071781478,0.0,0.19608157681489885,0.4742847016908241,6,87.22775148675869,1.1375410837434836,1.3313137412277083,0,-0.36050613934795817,0,0,8,5
2025-08-09 08:27:58.577405,64.64875192029655,51.04167263477763,395.2968198546481,0.0,12,99.76774793640001,98.78491029619713,54.55032929322959,47.426588362162306,36.99873074947044,149.47439821046638,15,1.452968198546481,-0.06355597402746394,0.0,0.2929750384059309,0.5104167263477764,5,89.51473384080744,2.4112724560515946,1.1337469050086932,0,0.020068021177810813,0,0,8,5
2025-08-09 08:37:58.577405,61.01284097566583,49.32437762410258,380.7255572792327,0.0,16,98.64325484113053,98.34252498169614,56.39873811748001,54.89321963953356,33.266609513193266,131.19408733952895,10,1.307255572792327,0.013442888262802192,0.0,0.22025681951331663,0.49324377624102583,7,92.66324537878008,1.5803912383886807,1.4072362872446356,0,0.12329812682755792,0,0,8,5
2025-08-09 08:47:58.577405,51.788833205658634,37.842446692284895,371.61701606485985,0.0,14,97.1937828707615,99.23414625049242,61.60924748786526,68.39044763071938,35.33118579543975,147.8420818765394,13,1.2161701606485986,0.033289244048892955,0.0,0.03577666411317267,0.3784244669228489,4,89.15758112541974,3.316764110306062,1.1924727333567406,0,-0.3606685455941243,0,0,8,5
2025-08-09 08:57:58.577405,65.43511057239564,54.81928768884194,402.1665166300984,0.0,12,99.47252870084864,99.08693085903418,53.23982793043628,57.72297984899101,37.92617682797267,126.01259118394142,11,1.521665166300984,0.07507858855894212,0.0,0.3087022114479129,0.5481928768884194,5,87.41520583725502,2.4249606020311747,1.3042284986759096,1,-0.19521874184197097,0,0,8,5
2025-08-09 09:07:58.577405,47.585514494975406,43.903758439440686,339.6898143346034,0.0,13,98.31192414298187,98.11418059217496,63.10279001168239,64.17748416215616,29.888425334021324,135.56943191532739,16,0.896898143346034,-0.0018550804511640224,0.0,-0.04828971010049187,0.4390375843944069,3,86.78240449669303,4.702460354912966,1.2022241461790428,0,-0.44852124875001065,0,1,9,5
2025-08-09 09:17:58.577405,53.96857677520473,39.66882730730519,384.7621866159146,0.0,14,98.78920030861288,98.3937204872402,60.30355408763289,64.06321925106676,41.7807991519469,144.78119125661235,16,1.3476218661591457,-0.0389458024303482,0.0,0.07937153550409462,0.39668827307305193,6,91.13467984422256,2.3948364023753363,1.6294468389789125,0,-0.2797589524344517,0,0,9,5
2025-08-09 09:27:58.577405,50.54064565943688,39.62271522032244,348.7526923856969,0.0,13,95.81144947046336,98.64861976592144,62.33487298324607,65.41989186182172,35.812093041184426,151.771860655821,18,0.9875269238569689,0.03963739400644419,0.0,0.010812913188737667,0.3962271522032244,6,88.43261556140226,1.1447352107374846,1.5356935475687956,0,0.46541935128879364,0,1,9,5
2025-08-09 09:37:58.577405,58.96618853537313,43.97845736970949,379.0728015986671,0.0,12,96.78984176922856,99.83172007000991,57.87001616688376,58.39883440202256,41.46536236649341,137.85648581973632,17,1.2907280159866712,0.04738329209117875,0.0,0.17932377070746255,0.4397845736970949,4,91.96966082590149,1.6244102876680357,1.160871584063841,0,0.14963289904721466,0,0,9,5
2025-08-09 09:47:58.577405,49.803930173834075,40.28072969635219,322.01436938717626,0.0,16,97.56628923520273,98.18780242456289,63.7570436183727,59.898139870906405,30.318118950077,136.52642471887356,16,0.7201436938717626,0.11720289038044003,0.0,-0.0039213965233184924,0.4028072969635219,6,91.51079119243445,2.7399243875992765,15.63670019694641,0,-0.030055486009057053,0,1,9,5
